# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 0.25
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_AdaptSlip3_X0080k.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
        43       43           1   0.00000000E+00   2.71442754E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             107   9.91985539E-08   3.85482586E-03   3.85407152E-03
        44       44           1   0.00000000E+00   9.56019809E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             193   9.23399968E-08   8.86614897E-04   8.74772833E-04
        45       45           1   0.00000000E+00   1.91203962E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             259   9.64131425E-08   3.25082207E-04   2.86232657E-04
        46       46           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             261   9.33936319E-08   2.53817002E-04   1.80824315E-04
        47       47           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             262   9.72264162E-08   2.20114481E-04   1.20849108E-04
        48       48           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             265   9.78012187E-08   2.05770932E-04   8.82154719E-05
        49       49           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             266   9.96803631E-08   1.98630883E-04   6.73369023E-05
        50       50           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             267   9.93788555E-08   1.94539873E-04   5.23633270E-05
        51       51           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             268   9.37565185E-08   1.92114258E-04   4.15684787E-05
        52       52           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             267   9.82514869E-08   1.90669184E-04   3.40473320E-05
