# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid b
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_Slip3_b1.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
        73       73           1   0.00000000E+00   2.00398461E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              12   6.49925665E-08   1.89997242E-02   1.90912623E-02
        74       74           1   0.00000000E+00   4.00796921E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              12   7.94577887E-08   1.31568426E-02   1.31903032E-02
        75       75           1   0.00000000E+00   1.23130958E+01   0.00000000E+00   2.50000000E-03   1.00000000E+00              19   7.94761029E-08   3.74497530E-03   3.75265967E-03
        76       76           1   0.00000000E+00   9.80153348E+01   0.00000000E+00   2.50000000E-03   1.00000000E+00              72   8.15888669E-08   1.10730731E-03   1.07399310E-03
        77       77           1   0.00000000E+00   3.74267901E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             160   9.63961205E-08   6.45650866E-04   5.73351883E-04
        78       78           1   0.00000000E+00   1.41404024E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             336   9.75422815E-08   3.72092142E-04   3.22247114E-04
        79       79           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             388   9.68920930E-08   2.82257784E-04   2.08135961E-04
        80       80           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             395   9.91673398E-08   2.41944137E-04   1.34620903E-04
        81       81           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             402   9.98519663E-08   2.21473798E-04   8.74371077E-05
        82       82           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00              29   3.99811609E-08   2.12622747E-04   2.12622747E-04
        83       83           1   0.00000000E+00   1.00000000E-01   0.00000000E+00   0.00000000E+00   1.00000000E+00              32   6.92820412E-08   2.12622747E-04   2.12622747E-04
        84       84           1   0.00000000E+00   4.17382493E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              56   9.58529945E-08   2.95469850E-04   2.95469850E-04
        85       85           1   0.00000000E+00   4.17382493E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              48   8.32557804E-08   2.95469850E-04   2.95469850E-04
        86       86           1   0.00000000E+00   4.13763724E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              47   6.11555282E-08   3.56072680E-04   3.56072680E-04
        87       87           1   0.00000000E+00   4.13763724E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              57   9.67499960E-08   3.56072680E-04   3.56072680E-04
        88       88           1   0.00000000E+00   4.87763268E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              58   9.36319744E-08   4.17791631E-04   4.17791631E-04
        89       89           1   0.00000000E+00   4.87763268E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              34   6.61333161E-08   4.17791631E-04   4.17791631E-04
        90       90           1   0.00000000E+00   6.03400482E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              42   9.47056048E-08   4.88328603E-04   4.88328603E-04
        91       91           1   0.00000000E+00   6.03400482E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              21   8.20419428E-08   4.88328603E-04   4.88328603E-04
        92       92           1   0.00000000E+00   7.56362622E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              40   6.12122043E-08   5.70009505E-04   5.70009505E-04
        93       93           1   0.00000000E+00   7.56362622E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              28   4.57987395E-08   5.70009505E-04   5.70009505E-04
        94       94           1   0.00000000E+00   9.12761449E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              50   8.85078152E-08   6.64865588E-04   6.64865588E-04
        95       95           1   0.00000000E+00   9.12761449E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              26   9.04992631E-08   6.64865588E-04   6.64865588E-04
        96       96           1   0.00000000E+00   8.01317334E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              35   3.80489853E-08   7.85207780E-04   7.85207780E-04
        97       97           1   0.00000000E+00   8.01317334E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              30   7.49352038E-08   7.85207780E-04   7.85207780E-04
        98       98           1   0.00000000E+00   5.01499130E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00              75   3.41905815E-08   9.38613173E-04   9.38613173E-04
        99       99           1   0.00000000E+00   5.01499130E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              25   5.96573686E-08   9.38613173E-04   9.38613173E-04
       100      100           1   0.00000000E+00   3.17927379E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00             200   8.82422171E-08   1.07879205E-03   1.07879205E-03
       101      101           1   0.00000000E+00   3.17927379E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              29   4.96648696E-08   1.07879205E-03   1.07879205E-03
       102      102           1   0.00000000E+00   2.29181703E-01   0.00000000E+00   0.00000000E+00   4.00000000E-01              51   9.67974664E-08   1.19142102E-03   1.19142102E-03
       103      103           1   0.00000000E+00   8.12962167E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              17   9.27193286E-08   8.82249277E-03   8.82249277E-03
       104      104           1   0.00000000E+00   1.69128844E-01   0.00000000E+00   0.00000000E+00   4.00000000E-01              42   5.42288182E-08   1.13118772E-02   1.13118772E-02
       105      105           1   0.00000000E+00   4.66785849E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              15   7.57048267E-08   2.46456592E-02   2.46456592E-02
       106      106           1   0.00000000E+00   1.24345135E-01   0.00000000E+00   0.00000000E+00   1.00000000E+00              20   7.95096795E-08   2.67988645E-02   2.67988645E-02
       107      107           1   0.00000000E+00   2.48690269E-01   0.00000000E+00   0.00000000E+00   1.00000000E+00              27   9.03294880E-08   3.11409800E-02   3.11409800E-02
       108      108           1   0.00000000E+00   4.97380538E-01   0.00000000E+00   0.00000000E+00   1.00000000E+00              37   8.13598531E-08   3.40262761E-02   3.40262761E-02
       109      109           1   0.00000000E+00   9.94761076E-01   0.00000000E+00   0.00000000E+00   1.00000000E+00              12   3.34177243E-08   1.14392440E-01   1.14392440E-01
       110      110           1   0.00000000E+00   1.98952215E+00   0.00000000E+00   0.00000000E+00   1.00000000E+00              12   5.57604121E-08   4.17540784E-02   4.17540784E-02
       111      111           1   0.00000000E+00   3.97904430E+00   0.00000000E+00   0.00000000E+00   1.00000000E+00              13   4.30424184E-08   1.76556314E-02   1.76556314E-02
       112      112           1   0.00000000E+00   7.95808861E+00   0.00000000E+00   0.00000000E+00   1.00000000E+00              16   4.79548676E-08   6.84218280E-03   6.84218280E-03
       113      113           1   0.00000000E+00   2.92463489E+01   0.00000000E+00   0.00000000E+00   1.00000000E+00              34   8.65330699E-08   3.18305408E-03   3.18305408E-03
       114      114           1   0.00000000E+00   8.71750104E+01   0.00000000E+00   0.00000000E+00   1.00000000E+00              72   9.97506963E-08   1.10049680E-03   1.10049680E-03
       115      115           1   0.00000000E+00   4.30111915E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             195   9.89052987E-08   7.32172099E-04   7.32172099E-04
       116      116           1   0.00000000E+00   1.28287544E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             372   9.85843388E-08   4.82209460E-04   4.82209460E-04
