# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 0.25
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_Slip3_c1.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
        60       60           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.76133688E-07   1.71527877E-04   1.12309038E-04
        61       61           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             215   9.30569551E-08   1.71527877E-04   1.12309038E-04
        62       62           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.81239796E-07   1.69512645E-04   1.07283608E-04
        63       63           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             214   9.99013211E-08   1.69512645E-04   1.07283608E-04
        64       64           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.80615000E-07   1.68601863E-04   1.03910826E-04
        65       65           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             214   9.93185944E-08   1.68601863E-04   1.03910826E-04
        66       66           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.77288132E-07   1.68277369E-04   1.01521491E-04
        67       67           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             214   9.98846282E-08   1.68277369E-04   1.01521491E-04
        68       68           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.79992990E-07   1.68041772E-04   9.94127025E-05
        69       69           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             215   9.40763524E-08   1.68041772E-04   9.94127025E-05
        70       70           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.93798837E-07   1.67592835E-04   9.71798820E-05
        71       71           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             215   9.63821742E-08   1.67592835E-04   9.71798820E-05
        72       72           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.90928539E-07   1.66839438E-04   9.47458907E-05
        73       73           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             215   9.89001434E-08   1.66839438E-04   9.47458907E-05
        74       74           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   2.98813451E-07   1.65836887E-04   9.22406269E-05
        75       75           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             216   9.33049846E-08   1.65836887E-04   9.22406269E-05
        76       76           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   4.98049796E-07   1.64705896E-04   8.98558839E-05
        77       77           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             216   9.55714588E-08   1.64705896E-04   8.98558839E-05
        78       78           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   5.08020716E-07   1.63569462E-04   8.77389611E-05
        79       79           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             216   9.76836132E-08   1.63569462E-04   8.77389611E-05
        80       80           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   3.87097471E-07   1.62519920E-04   8.59479461E-05
        81       81           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             216   9.96159277E-08   1.62519920E-04   8.59479461E-05
        82       82           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   4.56796362E-07   1.61612789E-04   8.44628354E-05
        83       83           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             217   9.46527505E-08   1.61612789E-04   8.44628354E-05
        84       84           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   1.21429593E-06   1.60873809E-04   8.32227206E-05
        85       85           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             217   9.64988528E-08   1.60873809E-04   8.32227206E-05
        86       86           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   0.00000000E+00             801   6.38569791E-07   1.60310537E-04   8.21654774E-05
        87       87           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             217   9.86178472E-08   1.60310537E-04   8.21654774E-05
        88       88           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E+00              13   4.55740100E-08   1.59915875E-04   1.59915875E-04
        89       89           1   0.00000000E+00   1.19160202E+01   0.00000000E+00   0.00000000E+00   1.00000000E+00              28   9.49107673E-08   2.94089403E-04   2.94089403E-04
        90       90           1   0.00000000E+00   2.22577596E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             230   9.68395779E-08   3.43438695E-04   3.43438695E-04
        91       91           1   0.00000000E+00   1.08609238E+03   0.00000000E+00   0.00000000E+00   1.00000000E+00             727   9.99739554E-08   3.48094406E-04   3.48094406E-04
        92       92           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   0.00000000E+00             801   2.52680464E-06   2.17728183E-04   2.17728183E-04
        93       93           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             227   9.77793195E-08   2.17728183E-04   2.17728183E-04
        94       94           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   0.00000000E+00             801   5.76327731E-04   2.04950207E-04   2.04950207E-04
        95       95           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             227   9.94210726E-08   2.04950207E-04   2.04950207E-04
        96       96           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   0.00000000E+00             801   2.07245361E-06   1.95173854E-04   1.95173854E-04
        97       97           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             228   9.32534454E-08   1.95173854E-04   1.95173854E-04
        98       98           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   0.00000000E+00             801   2.13589089E-06   1.85771150E-04   1.85771150E-04
        99       99           1   0.00000000E+00   2.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             228   9.59477261E-08   1.85771150E-04   1.85771150E-04
       100      100           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   0.00000000E+00   0.00000000E+00             801   2.22007662E-06   1.77866849E-04   1.77866849E-04
       101      101           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E+00              14   5.41165048E-08   1.77866849E-04   1.77866849E-04
       102      102           1   0.00000000E+00   1.79087293E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             212   9.87159799E-08   1.77757057E-04   1.77757057E-04
       103      103           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             361   9.68399139E-08   1.72278777E-04   1.72278777E-04
       104      104           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             363   9.60385095E-08   1.64182192E-04   1.64182192E-04
       105      105           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             365   9.60091020E-08   1.57078650E-04   1.57078650E-04
       106      106           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             367   9.63165467E-08   1.51055600E-04   1.51055600E-04
       107      107           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             368   9.99996053E-08   1.46014243E-04   1.46014243E-04
       108      108           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             369   9.83107932E-08   1.41795654E-04   1.41795654E-04
       109      109           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             368   9.62763758E-08   1.38139223E-04   1.38139223E-04
       110      110           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             365   9.83034406E-08   1.34822334E-04   1.34822334E-04
       111      111           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             377   9.65391434E-08   1.31677221E-04   1.31677221E-04
       112      112           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             383   9.81253166E-08   1.28571339E-04   1.28571339E-04
       113      113           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             387   9.62451030E-08   1.25441819E-04   1.25441819E-04
       114      114           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             381   9.76319969E-08   1.22302633E-04   1.22302633E-04
       115      115           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             377   9.65603323E-08   1.19209677E-04   1.19209677E-04
       116      116           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             399   9.68058742E-08   1.16222852E-04   1.16222852E-04
       117      117           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             416   9.81889860E-08   1.13384041E-04   1.13384041E-04
       118      118           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             426   9.84726311E-08   1.10709058E-04   1.10709058E-04
       119      119           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             434   9.85680072E-08   1.08199495E-04   1.08199495E-04
       120      120           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             439   9.97823573E-08   1.05849248E-04   1.05849248E-04
       121      121           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             444   9.69172599E-08   1.03644286E-04   1.03644286E-04
       122      122           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             448   9.89930790E-08   1.01572121E-04   1.01572121E-04
       123      123           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             463   9.80190291E-08   9.96224383E-05   9.96224383E-05
       124      124           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             459   9.75499973E-08   9.77808381E-05   9.77808381E-05
       125      125           1   0.00000000E+00   4.00000000E+02   0.00000000E+00   0.00000000E+00   1.00000000E+00             464   9.97667556E-08   9.60347632E-05   9.60347632E-05
