# Iterations  ResRho  ResRhoU  ResRhoV  ResRhoW  ResRhoE  ResTrb
VARIABLES=iterations ResRho  ResRhoU  ResRhoV  ResRhoW  ResRhoE  ResTrb
1654 1.012205e-03 4.705397e-03 2.676756e-03 4.212953e-03 6.320912e-02 2.521706e-09
1655 1.005484e-03 4.712471e-03 2.632031e-03 4.150485e-03 6.279290e-02 2.551207e-09
1656 9.986601e-04 4.720352e-03 2.587066e-03 4.091351e-03 6.237029e-02 2.582138e-09
1657 9.917369e-04 4.728983e-03 2.542199e-03 4.035185e-03 6.194164e-02 2.614602e-09
1658 9.846723e-04 4.738282e-03 2.497898e-03 3.981370e-03 6.150408e-02 2.648716e-09
1659 9.774761e-04 4.748319e-03 2.454551e-03 3.928998e-03 6.105820e-02 2.684880e-09
1660 9.701949e-04 4.758957e-03 2.412378e-03 3.877636e-03 6.060676e-02 2.723079e-09
1661 9.627975e-04 4.770083e-03 2.371760e-03 3.826399e-03 6.014775e-02 2.763556e-09
1662 9.553491e-04 4.781572e-03 2.332996e-03 3.774808e-03 5.968496e-02 2.806182e-09
1663 9.478340e-04 4.793300e-03 2.296084e-03 3.722493e-03 5.921743e-02 2.849640e-09
1664 9.402480e-04 4.805174e-03 2.261046e-03 3.669256e-03 5.874503e-02 2.895715e-09
1665 9.325981e-04 4.817044e-03 2.228030e-03 3.615086e-03 5.826803e-02 2.944759e-09
1666 9.248787e-04 4.828740e-03 2.197111e-03 3.560260e-03 5.778592e-02 2.996868e-09
1667 9.170273e-04 4.840131e-03 2.168165e-03 3.505075e-03 5.729476e-02 3.052190e-09
1668 9.090405e-04 4.851042e-03 2.141374e-03 3.450051e-03 5.679423e-02 3.110788e-09
1669 9.008711e-04 4.861290e-03 2.116795e-03 3.395837e-03 5.628131e-02 3.170503e-09
1670 8.925147e-04 4.870674e-03 2.094539e-03 3.342983e-03 5.575560e-02 3.226342e-09
1671 8.839896e-04 4.879067e-03 2.074731e-03 3.292058e-03 5.521828e-02 3.285428e-09
1672 8.753404e-04 4.886412e-03 2.057491e-03 3.243489e-03 5.467212e-02 3.347483e-09
1673 8.665339e-04 4.892609e-03 2.042816e-03 3.197595e-03 5.411499e-02 3.412999e-09
1674 8.575361e-04 4.897552e-03 2.030825e-03 3.154626e-03 5.354469e-02 3.481919e-09
1675 8.484060e-04 4.901175e-03 2.021542e-03 3.114682e-03 5.296501e-02 3.554081e-09
1676 8.392693e-04 4.903413e-03 2.014871e-03 3.077661e-03 5.238389e-02 3.629182e-09
1677 8.302871e-04 4.904269e-03 2.010979e-03 3.043291e-03 5.181151e-02 3.707190e-09
1678 8.214876e-04 4.903674e-03 2.009644e-03 3.011242e-03 5.124951e-02 3.787933e-09
1679 8.129093e-04 4.901606e-03 2.010585e-03 2.981206e-03 5.070050e-02 3.871059e-09
1680 8.046425e-04 4.898052e-03 2.013418e-03 2.952873e-03 5.017016e-02 3.956399e-09
1681 7.967345e-04 4.893079e-03 2.017701e-03 2.925931e-03 4.966161e-02 4.043802e-09
1682 7.892426e-04 4.886768e-03 2.023050e-03 2.900080e-03 4.917873e-02 4.133003e-09
1683 7.821999e-04 4.879209e-03 2.029093e-03 2.875061e-03 4.872379e-02 4.223722e-09
1684 7.756276e-04 4.870493e-03 2.035453e-03 2.850573e-03 4.829816e-02 4.315660e-09
1685 7.695362e-04 4.860760e-03 2.041646e-03 2.826428e-03 4.790292e-02 4.408631e-09
1686 7.638920e-04 4.850097e-03 2.047405e-03 2.802455e-03 4.753604e-02 4.502168e-09
1687 7.586868e-04 4.838566e-03 2.052411e-03 2.778575e-03 4.719707e-02 4.596121e-09
1688 7.539800e-04 4.826200e-03 2.056371e-03 2.754817e-03 4.688964e-02 4.690372e-09
1689 7.497161e-04 4.813060e-03 2.059076e-03 2.730947e-03 4.661026e-02 4.784633e-09
1690 7.458561e-04 4.799231e-03 2.060448e-03 2.706845e-03 4.635650e-02 4.878728e-09
1691 7.423455e-04 4.784878e-03 2.060412e-03 2.682312e-03 4.612524e-02 4.972527e-09
1692 7.391393e-04 4.770089e-03 2.058941e-03 2.657312e-03 4.591372e-02 5.066072e-09
1693 7.362011e-04 4.754946e-03 2.056068e-03 2.631786e-03 4.571969e-02 5.159540e-09
1694 7.335153e-04 4.739553e-03 2.052118e-03 2.605617e-03 4.554249e-02 5.252978e-09
1695 7.310163e-04 4.723984e-03 2.047267e-03 2.578850e-03 4.537795e-02 5.346343e-09
1696 7.286626e-04 4.708412e-03 2.041607e-03 2.551561e-03 4.522382e-02 5.439996e-09
1697 7.264424e-04 4.692913e-03 2.035268e-03 2.523787e-03 4.507951e-02 5.530906e-09
1698 7.243120e-04 4.677475e-03 2.028422e-03 2.495661e-03 4.494224e-02 5.620548e-09
1699 7.222188e-04 4.662128e-03 2.021224e-03 2.467247e-03 4.480877e-02 5.711720e-09
1700 7.201448e-04 4.646889e-03 2.013761e-03 2.438719e-03 4.467777e-02 5.804881e-09
1701 7.180845e-04 4.631775e-03 2.006041e-03 2.410313e-03 4.454870e-02 5.900261e-09
1702 7.160487e-04 4.616809e-03 1.998100e-03 2.381878e-03 4.442241e-02 5.998234e-09
1703 7.140059e-04 4.602007e-03 1.990039e-03 2.353053e-03 4.429720e-02 6.098939e-09
1704 7.119160e-04 4.587366e-03 1.981755e-03 2.324172e-03 4.417071e-02 6.202320e-09
1705 7.097906e-04 4.572795e-03 1.973061e-03 2.295490e-03 4.404357e-02 6.308046e-09
1706 7.076379e-04 4.558240e-03 1.963862e-03 2.266919e-03 4.391651e-02 6.415907e-09
1707 7.054964e-04 4.543668e-03 1.954195e-03 2.238380e-03 4.379181e-02 6.525368e-09
1708 7.034340e-04 4.528921e-03 1.943906e-03 2.209739e-03 4.367376e-02 6.636062e-09
1709 7.015583e-04 4.513812e-03 1.932859e-03 2.180850e-03 4.356899e-02 6.746351e-09
1710 6.998776e-04 4.498429e-03 1.920961e-03 2.151701e-03 4.347818e-02 6.853513e-09
1711 6.983810e-04 4.482748e-03 1.908148e-03 2.122174e-03 4.340099e-02 6.959073e-09
1712 6.971167e-04 4.466719e-03 1.894271e-03 2.092095e-03 4.334076e-02 7.061641e-09
1713 6.961717e-04 4.450315e-03 1.879288e-03 2.061362e-03 4.330248e-02 7.160340e-09
1714 6.956110e-04 4.433411e-03 1.863128e-03 2.029942e-03 4.329001e-02 7.253845e-09
1715 6.955223e-04 4.415896e-03 1.846012e-03 1.997931e-03 4.330853e-02 7.341218e-09
1716 6.958913e-04 4.397728e-03 1.828193e-03 1.965395e-03 4.335723e-02 7.421634e-09
1717 6.967656e-04 4.378819e-03 1.809880e-03 1.932476e-03 4.343862e-02 7.494262e-09
1718 6.982264e-04 4.358993e-03 1.791358e-03 1.899235e-03 4.355709e-02 7.558833e-09
1719 7.003140e-04 4.338130e-03 1.772823e-03 1.865818e-03 4.371490e-02 7.614594e-09
1720 7.029997e-04 4.316106e-03 1.754913e-03 1.832510e-03 4.390994e-02 7.661814e-09
1721 7.062940e-04 4.292754e-03 1.737898e-03 1.799593e-03 4.414250e-02 7.700216e-09
1722 7.101893e-04 4.268035e-03 1.722063e-03 1.767498e-03 4.441212e-02 7.729698e-09
1723 7.145724e-04 4.242016e-03 1.707783e-03 1.736638e-03 4.471227e-02 7.748869e-09
1724 7.194383e-04 4.214415e-03 1.695423e-03 1.707650e-03 4.504152e-02 7.757759e-09
1725 7.247693e-04 4.185157e-03 1.685258e-03 1.681098e-03 4.539816e-02 7.758488e-09
1726 7.305853e-04 4.154152e-03 1.677396e-03 1.657651e-03 4.578289e-02 7.751205e-09
1727 7.368445e-04 4.121293e-03 1.672285e-03 1.638121e-03 4.619284e-02 7.736355e-09
1728 7.435111e-04 4.086531e-03 1.669946e-03 1.623078e-03 4.662550e-02 7.715045e-09
1729 7.505398e-04 4.049965e-03 1.670624e-03 1.613168e-03 4.707765e-02 7.687781e-09
1730 7.578518e-04 4.011995e-03 1.674434e-03 1.608566e-03 4.754429e-02 7.655273e-09
1731 7.653990e-04 3.972575e-03 1.681635e-03 1.609553e-03 4.802271e-02 7.618449e-09
1732 7.730921e-04 3.932202e-03 1.692477e-03 1.616050e-03 4.850762e-02 7.578002e-09
1733 7.809284e-04 3.891105e-03 1.706806e-03 1.627720e-03 4.899830e-02 7.534786e-09
1734 7.889214e-04 3.849532e-03 1.724449e-03 1.644310e-03 4.949593e-02 7.487274e-09
1735 7.969454e-04 3.807648e-03 1.745353e-03 1.665318e-03 4.999271e-02 7.437036e-09
1736 8.049482e-04 3.766007e-03 1.769321e-03 1.690257e-03 5.048530e-02 7.384790e-09
1737 8.128715e-04 3.725368e-03 1.796094e-03 1.718652e-03 5.097016e-02 7.330895e-09
1738 8.206259e-04 3.686438e-03 1.825552e-03 1.749838e-03 5.144199e-02 7.275415e-09
1739 8.281290e-04 3.650042e-03 1.857389e-03 1.783299e-03 5.189591e-02 7.218435e-09
1740 8.352942e-04 3.617053e-03 1.891636e-03 1.818461e-03 5.232654e-02 7.160284e-09
1741 8.419356e-04 3.588581e-03 1.928220e-03 1.854719e-03 5.272236e-02 7.100898e-09
1742 8.479469e-04 3.565453e-03 1.966769e-03 1.891678e-03 5.307651e-02 7.040718e-09
1743 8.532895e-04 3.548705e-03 2.007131e-03 1.928896e-03 5.338614e-02 6.980014e-09
1744 8.578056e-04 3.539101e-03 2.049567e-03 1.966003e-03 5.364161e-02 6.918213e-09
1745 8.614113e-04 3.537461e-03 2.094633e-03 2.002756e-03 5.383742e-02 6.855256e-09
1746 8.639490e-04 3.544037e-03 2.142528e-03 2.038767e-03 5.396334e-02 6.791531e-09
1747 8.654155e-04 3.559380e-03 2.192483e-03 2.074023e-03 5.401929e-02 6.727623e-09
1748 8.656580e-04 3.583594e-03 2.244639e-03 2.108357e-03 5.399570e-02 6.664071e-09
1749 8.646945e-04 3.616608e-03 2.299032e-03 2.141617e-03 5.389314e-02 6.589907e-09
1750 8.623273e-04 3.658209e-03 2.355545e-03 2.173608e-03 5.369906e-02 6.516910e-09
1751 8.584229e-04 3.707797e-03 2.413883e-03 2.204416e-03 5.340480e-02 6.446118e-09
1752 8.531529e-04 3.764697e-03 2.474060e-03 2.234220e-03 5.302125e-02 6.378768e-09
1753 8.464882e-04 3.828284e-03 2.535153e-03 2.262678e-03 5.254676e-02 6.316492e-09
1754 8.384592e-04 3.897581e-03 2.596759e-03 2.289644e-03 5.198326e-02 6.261063e-09
1755 8.290284e-04 3.971386e-03 2.657732e-03 2.315206e-03 5.132966e-02 6.213381e-09
1756 8.182340e-04 4.048980e-03 2.716373e-03 2.339266e-03 5.058941e-02 6.175260e-09
1757 8.062145e-04 4.129981e-03 2.771600e-03 2.361898e-03 4.977196e-02 6.149698e-09
1758 7.930253e-04 4.213262e-03 2.822808e-03 2.382804e-03 4.888157e-02 6.137947e-09
1759 7.784542e-04 4.298081e-03 2.869644e-03 2.401893e-03 4.790694e-02 6.138903e-09
1760 7.627258e-04 4.383636e-03 2.912068e-03 2.419317e-03 4.686410e-02 6.154009e-09
1761 7.461212e-04 4.468423e-03 2.950271e-03 2.435006e-03 4.577256e-02 6.183678e-09
1762 7.291277e-04 4.551026e-03 2.982909e-03 2.448983e-03 4.466440e-02 6.226805e-09
1763 7.119486e-04 4.629921e-03 3.008001e-03 2.461068e-03 4.355396e-02 6.286739e-09
1764 6.948314e-04 4.704100e-03 3.025655e-03 2.471284e-03 4.245945e-02 6.364007e-09
1765 6.781363e-04 4.772599e-03 3.033522e-03 2.479612e-03 4.140704e-02 6.456519e-09
1766 6.625133e-04 4.833562e-03 3.034921e-03 2.485533e-03 4.043928e-02 6.562830e-09
1767 6.481911e-04 4.885673e-03 3.028125e-03 2.488833e-03 3.957537e-02 6.684359e-09
1768 6.357310e-04 4.927883e-03 3.011003e-03 2.489322e-03 3.885060e-02 6.820409e-09
1769 6.258965e-04 4.959359e-03 2.981552e-03 2.486560e-03 3.831005e-02 6.965801e-09
1770 6.188636e-04 4.979417e-03 2.939506e-03 2.480152e-03 3.796464e-02 7.112643e-09
1771 6.147740e-04 4.987660e-03 2.884818e-03 2.470270e-03 3.782242e-02 7.266347e-09
1772 6.140066e-04 4.983221e-03 2.817455e-03 2.456848e-03 3.790234e-02 7.425083e-09
1773 6.165987e-04 4.965021e-03 2.737440e-03 2.439582e-03 3.820050e-02 7.586753e-09
1774 6.225267e-04 4.931737e-03 2.646043e-03 2.418425e-03 3.870972e-02 7.750977e-09
1775 6.315286e-04 4.883797e-03 2.544990e-03 2.393386e-03 3.940486e-02 7.913084e-09
1776 6.431383e-04 4.820275e-03 2.436254e-03 2.364717e-03 4.024988e-02 8.071582e-09
1777 6.568625e-04 4.743560e-03 2.319714e-03 2.333019e-03 4.121449e-02 8.224310e-09
1778 6.717302e-04 4.653947e-03 2.198682e-03 2.299021e-03 4.223407e-02 8.369628e-09
1779 6.868339e-04 4.553708e-03 2.078115e-03 2.263000e-03 4.325103e-02 8.504975e-09
1780 7.016666e-04 4.443694e-03 1.961168e-03 2.224908e-03 4.423480e-02 8.629794e-09
1781 7.157301e-04 4.325766e-03 1.852361e-03 2.185215e-03 4.515553e-02 8.740863e-09
1782 7.284041e-04 4.201913e-03 1.757372e-03 2.144480e-03 4.597142e-02 8.836690e-09
1783 7.391959e-04 4.075067e-03 1.683871e-03 2.103160e-03 4.665734e-02 8.915981e-09
1784 7.476573e-04 3.948628e-03 1.638054e-03 2.061463e-03 4.718679e-02 8.977886e-09
1785 7.538965e-04 3.824636e-03 1.624841e-03 2.019742e-03 4.756764e-02 9.022502e-09
1786 7.574969e-04 3.705702e-03 1.646537e-03 1.978473e-03 4.777534e-02 9.045685e-09
1787 7.583935e-04 3.594390e-03 1.702550e-03 1.939526e-03 4.780896e-02 9.049701e-09
1788 7.567705e-04 3.492097e-03 1.788857e-03 1.902745e-03 4.768024e-02 9.035186e-09
1789 7.525692e-04 3.400329e-03 1.900468e-03 1.868353e-03 4.738737e-02 9.004564e-09
1790 7.462165e-04 3.320269e-03 2.029751e-03 1.836792e-03 4.695864e-02 8.958985e-09
1791 7.381819e-04 3.252228e-03 2.169506e-03 1.809000e-03 4.642343e-02 8.898482e-09
1792 7.286021e-04 3.196336e-03 2.312247e-03 1.785904e-03 4.579130e-02 8.825354e-09
1793 7.178974e-04 3.152675e-03 2.453958e-03 1.766845e-03 4.508783e-02 8.741548e-09
1794 7.065539e-04 3.120412e-03 2.590954e-03 1.752030e-03 4.434190e-02 8.649581e-09
1795 6.949433e-04 3.099826e-03 2.720061e-03 1.741829e-03 4.357604e-02 8.549709e-09
1796 6.831614e-04 3.090956e-03 2.841203e-03 1.736148e-03 4.279583e-02 8.448116e-09
1797 6.715659e-04 3.093301e-03 2.951067e-03 1.735318e-03 4.202374e-02 8.347997e-09
1798 6.602990e-04 3.107173e-03 3.045986e-03 1.739421e-03 4.126767e-02 8.250785e-09
1799 6.491365e-04 3.133833e-03 3.124484e-03 1.747980e-03 4.051249e-02 8.158763e-09
1800 6.383060e-04 3.172251e-03 3.185638e-03 1.761496e-03 3.977230e-02 8.071140e-09
1801 6.274856e-04 3.223391e-03 3.227791e-03 1.780160e-03 3.902749e-02 7.995754e-09
1802 6.161086e-04 3.286860e-03 3.249474e-03 1.803045e-03 3.824333e-02 7.928032e-09
1803 6.038200e-04 3.360943e-03 3.253341e-03 1.828711e-03 3.740155e-02 7.865181e-09
1804 5.910690e-04 3.444952e-03 3.240901e-03 1.855293e-03 3.652704e-02 7.816319e-09
1805 5.776844e-04 3.539313e-03 3.214151e-03 1.881049e-03 3.560366e-02 7.784623e-09
1806 5.632563e-04 3.644248e-03 3.173081e-03 1.904494e-03 3.460795e-02 7.769580e-09
1807 5.471366e-04 3.753148e-03 3.121774e-03 1.924513e-03 3.351676e-02 7.769855e-09
1808 5.296181e-04 3.862131e-03 3.056074e-03 1.940108e-03 3.235321e-02 7.784056e-09
1809 5.115218e-04 3.971662e-03 2.981675e-03 1.949884e-03 3.117556e-02 7.812029e-09
1810 4.935182e-04 4.074466e-03 2.902970e-03 1.953638e-03 3.001734e-02 7.851481e-09
1811 4.763714e-04 4.164654e-03 2.820354e-03 1.949819e-03 2.893019e-02 7.897437e-09
1812 4.611501e-04 4.233914e-03 2.733901e-03 1.938099e-03 2.797953e-02 7.941960e-09
1813 4.486085e-04 4.283395e-03 2.647616e-03 1.919534e-03 2.721332e-02 7.982979e-09
1814 4.386089e-04 4.312559e-03 2.561143e-03 1.892557e-03 2.664119e-02 8.020970e-09
1815 4.322292e-04 4.322952e-03 2.477176e-03 1.857328e-03 2.630956e-02 8.046099e-09
1816 4.296390e-04 4.313185e-03 2.396806e-03 1.813088e-03 2.622374e-02 8.057609e-09
1817 4.299232e-04 4.280501e-03 2.319238e-03 1.760004e-03 2.634721e-02 8.064248e-09
1818 4.326938e-04 4.226078e-03 2.245289e-03 1.700847e-03 2.663798e-02 8.065218e-09
1819 4.375314e-04 4.151539e-03 2.175337e-03 1.637617e-03 2.705912e-02 8.055053e-09
1820 4.437485e-04 4.058890e-03 2.107866e-03 1.573973e-03 2.755610e-02 8.036686e-09
1821 4.507429e-04 3.949661e-03 2.044000e-03 1.512342e-03 2.807732e-02 8.011085e-09
1822 4.575510e-04 3.827350e-03 1.984771e-03 1.456299e-03 2.856781e-02 7.969957e-09
1823 4.631763e-04 3.699286e-03 1.932038e-03 1.407768e-03 2.896966e-02 7.915674e-09
1824 4.666899e-04 3.567860e-03 1.884484e-03 1.369865e-03 2.922895e-02 7.848725e-09
1825 4.677179e-04 3.438643e-03 1.843753e-03 1.343680e-03 2.932657e-02 7.779971e-09
1826 4.667923e-04 3.317479e-03 1.811204e-03 1.328660e-03 2.929829e-02 7.710154e-09
1827 4.636796e-04 3.208488e-03 1.786751e-03 1.323201e-03 2.912995e-02 7.635483e-09
1828 4.584561e-04 3.116127e-03 1.769943e-03 1.327642e-03 2.882935e-02 7.562014e-09
1829 4.521411e-04 3.042890e-03 1.760185e-03 1.339863e-03 2.846433e-02 7.483402e-09
1830 4.446500e-04 2.987720e-03 1.756650e-03 1.356888e-03 2.803007e-02 7.402352e-09
1831 4.364510e-04 2.949657e-03 1.757431e-03 1.375881e-03 2.755625e-02 7.332179e-09
1832 4.287314e-04 2.927451e-03 1.762542e-03 1.394277e-03 2.711976e-02 7.274958e-09
1833 4.228965e-04 2.918182e-03 1.771271e-03 1.408407e-03 2.680698e-02 7.228658e-09
1834 4.191218e-04 2.918434e-03 1.782574e-03 1.417656e-03 2.662744e-02 7.190636e-09
1835 4.174290e-04 2.925181e-03 1.794684e-03 1.421260e-03 2.658316e-02 7.158607e-09
1836 4.177705e-04 2.935340e-03 1.806301e-03 1.417884e-03 2.666861e-02 7.130947e-09
1837 4.199607e-04 2.946390e-03 1.817556e-03 1.408999e-03 2.686873e-02 7.108660e-09
1838 4.234379e-04 2.956544e-03 1.827927e-03 1.396389e-03 2.714537e-02 7.089776e-09
1839 4.281866e-04 2.964178e-03 1.836645e-03 1.379668e-03 2.749437e-02 7.072567e-09
1840 4.338712e-04 2.968702e-03 1.842525e-03 1.359472e-03 2.789149e-02 7.056768e-09
1841 4.400797e-04 2.971965e-03 1.847402e-03 1.335496e-03 2.830458e-02 7.042943e-09
1842 4.460034e-04 2.974583e-03 1.852279e-03 1.309873e-03 2.868371e-02 7.029759e-09
1843 4.511063e-04 2.978698e-03 1.855331e-03 1.286258e-03 2.899582e-02 7.014462e-09
1844 4.569371e-04 2.986379e-03 1.848468e-03 1.266659e-03 2.933528e-02 6.997702e-09
1845 4.612541e-04 2.998738e-03 1.830269e-03 1.252709e-03 2.957783e-02 6.978343e-09
1846 4.646108e-04 3.019852e-03 1.802660e-03 1.240794e-03 2.975902e-02 6.960275e-09
1847 4.675658e-04 3.049737e-03 1.764408e-03 1.228839e-03 2.990358e-02 6.943915e-09
1848 4.705238e-04 3.087765e-03 1.715985e-03 1.218548e-03 3.003427e-02 6.926241e-09
1849 4.729796e-04 3.135329e-03 1.658680e-03 1.213690e-03 3.012527e-02 6.897262e-09
1850 4.741657e-04 3.192241e-03 1.593161e-03 1.211325e-03 3.013456e-02 6.866731e-09
1851 4.733690e-04 3.256379e-03 1.520572e-03 1.212519e-03 3.001938e-02 6.835807e-09
1852 4.703408e-04 3.327856e-03 1.443400e-03 1.215119e-03 2.976843e-02 6.801108e-09
1853 4.646555e-04 3.404860e-03 1.365888e-03 1.217339e-03 2.936709e-02 6.756512e-09
1854 4.558699e-04 3.483063e-03 1.290840e-03 1.218440e-03 2.879201e-02 6.709649e-09
1855 4.441195e-04 3.558312e-03 1.222506e-03 1.219676e-03 2.804736e-02 6.658771e-09
1856 4.289020e-04 3.621987e-03 1.166810e-03 1.220997e-03 2.710431e-02 6.602847e-09
1857 4.108238e-04 3.668115e-03 1.125357e-03 1.222224e-03 2.600211e-02 6.543637e-09
1858 3.902839e-04 3.693614e-03 1.099735e-03 1.225041e-03 2.476908e-02 6.484376e-09
1859 3.679008e-04 3.695886e-03 1.089730e-03 1.230129e-03 2.344156e-02 6.431049e-09
1860 3.442383e-04 3.677367e-03 1.090403e-03 1.235993e-03 2.204679e-02 6.388747e-09
1861 3.206104e-04 3.639952e-03 1.097651e-03 1.240105e-03 2.066011e-02 6.348343e-09
1862 2.980466e-04 3.585451e-03 1.107239e-03 1.239109e-03 1.933882e-02 6.327583e-09
1863 2.773845e-04 3.517769e-03 1.113840e-03 1.231373e-03 1.813054e-02 6.317697e-09
1864 2.600614e-04 3.441160e-03 1.114182e-03 1.215065e-03 1.711865e-02 6.341033e-09
1865 2.476099e-04 3.359937e-03 1.106047e-03 1.188966e-03 1.638078e-02 6.398585e-09
1866 2.410226e-04 3.275534e-03 1.087540e-03 1.157933e-03 1.598337e-02 6.482477e-09
1867 2.406523e-04 3.191765e-03 1.061395e-03 1.124253e-03 1.595256e-02 6.585857e-09
1868 2.454842e-04 3.111555e-03 1.029701e-03 1.082461e-03 1.622907e-02 6.701466e-09
1869 2.542357e-04 3.035303e-03 9.957712e-04 1.041399e-03 1.673584e-02 6.821513e-09
1870 2.644390e-04 2.963809e-03 9.656545e-04 9.940434e-04 1.733903e-02 6.936988e-09
