# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
1283 3.787293e-10 7.022388e-10 7.946917e-10 1.012105e-09 2.381470e-08 1.941248e-15
1284 3.817356e-10 7.041539e-10 7.980691e-10 1.013712e-09 2.400722e-08 1.958384e-15
1285 3.850073e-10 7.062233e-10 8.014166e-10 1.015305e-09 2.421650e-08 1.975367e-15
1286 3.881745e-10 7.082048e-10 8.047564e-10 1.016545e-09 2.441498e-08 1.993352e-15
1287 3.912890e-10 7.097519e-10 8.086232e-10 1.018208e-09 2.461323e-08 2.011362e-15
1288 3.944280e-10 7.114546e-10 8.125327e-10 1.019494e-09 2.480435e-08 2.029843e-15
1289 3.978216e-10 7.132659e-10 8.159044e-10 1.020290e-09 2.501165e-08 2.048016e-15
1290 4.007845e-10 7.151020e-10 8.196166e-10 1.020979e-09 2.520583e-08 2.066449e-15
1291 4.039319e-10 7.166221e-10 8.230737e-10 1.021528e-09 2.539575e-08 2.085014e-15
1292 4.068345e-10 7.181155e-10 8.263066e-10 1.021742e-09 2.558009e-08 2.103741e-15
1293 4.097896e-10 7.194159e-10 8.293311e-10 1.021535e-09 2.576378e-08 2.122708e-15
1294 4.127467e-10 7.207125e-10 8.324060e-10 1.020918e-09 2.594388e-08 2.142052e-15
1295 4.156348e-10 7.218922e-10 8.350172e-10 1.020691e-09 2.611840e-08 2.161954e-15
1296 4.182746e-10 7.227916e-10 8.376184e-10 1.019828e-09 2.628845e-08 2.182235e-15
1297 4.208761e-10 7.238029e-10 8.401344e-10 1.018544e-09 2.644772e-08 2.202436e-15
1298 4.234306e-10 7.248151e-10 8.423514e-10 1.016932e-09 2.660873e-08 2.222968e-15
1299 4.258977e-10 7.256172e-10 8.444172e-10 1.015189e-09 2.676140e-08 2.244144e-15
1300 4.281341e-10 7.263016e-10 8.467301e-10 1.013008e-09 2.690713e-08 2.265379e-15
1301 4.302548e-10 7.269085e-10 8.489308e-10 1.010658e-09 2.703722e-08 2.287091e-15
1302 4.324589e-10 7.275136e-10 8.511989e-10 1.008022e-09 2.717799e-08 2.308899e-15
1303 4.346532e-10 7.278288e-10 8.538791e-10 1.005459e-09 2.730689e-08 2.330563e-15
1304 4.368399e-10 7.277895e-10 8.567286e-10 1.002747e-09 2.744968e-08 2.353013e-15
1305 4.389525e-10 7.278998e-10 8.590051e-10 9.997281e-10 2.758337e-08 2.375583e-15
1306 4.408427e-10 7.279297e-10 8.616767e-10 9.974553e-10 2.771267e-08 2.398782e-15
1307 4.428367e-10 7.282193e-10 8.641433e-10 9.956427e-10 2.783090e-08 2.422197e-15
1308 4.447621e-10 7.287278e-10 8.671148e-10 9.939367e-10 2.795288e-08 2.445754e-15
1309 4.468260e-10 7.292658e-10 8.701638e-10 9.934377e-10 2.807644e-08 2.469731e-15
1310 4.488134e-10 7.305156e-10 8.739192e-10 9.940187e-10 2.820782e-08 2.494439e-15
1311 4.510425e-10 7.320010e-10 8.783124e-10 9.956041e-10 2.834838e-08 2.519232e-15
1312 4.534093e-10 7.337118e-10 8.823495e-10 9.969319e-10 2.849917e-08 2.545216e-15
1313 4.560554e-10 7.350139e-10 8.864995e-10 9.984341e-10 2.867800e-08 2.571290e-15
1314 4.589221e-10 7.368310e-10 8.897241e-10 9.997955e-10 2.885526e-08 2.598177e-15
1315 4.621610e-10 7.386892e-10 8.933408e-10 1.001321e-09 2.905957e-08 2.625272e-15
