# Iterations  CD  CDp  CDf  CL  CLp  CL  Pitch 
879 8.117396e-02 7.152627e-02 9.647691e-03 3.590123e-01 3.592369e-01 -2.245715e-04 -2.914617e-02
880 8.074958e-02 7.110209e-02 9.647496e-03 3.587447e-01 3.589694e-01 -2.247087e-04 -2.911795e-02
881 8.031157e-02 7.066424e-02 9.647331e-03 3.584661e-01 3.586909e-01 -2.248364e-04 -2.908633e-02
882 7.986196e-02 7.021476e-02 9.647199e-03 3.581774e-01 3.584023e-01 -2.249522e-04 -2.905165e-02
883 7.940274e-02 6.975564e-02 9.647100e-03 3.578785e-01 3.581035e-01 -2.250589e-04 -2.901360e-02
884 7.893618e-02 6.928914e-02 9.647035e-03 3.575700e-01 3.577952e-01 -2.251570e-04 -2.897256e-02
885 7.846447e-02 6.881746e-02 9.647004e-03 3.572518e-01 3.574770e-01 -2.252494e-04 -2.892841e-02
886 7.798994e-02 6.834294e-02 9.647005e-03 3.569240e-01 3.571493e-01 -2.253382e-04 -2.888155e-02
887 7.751470e-02 6.786767e-02 9.647034e-03 3.565862e-01 3.568116e-01 -2.254266e-04 -2.883209e-02
888 7.704081e-02 6.739372e-02 9.647089e-03 3.562381e-01 3.564636e-01 -2.255185e-04 -2.878057e-02
889 7.656998e-02 6.692281e-02 9.647165e-03 3.558787e-01 3.561043e-01 -2.256173e-04 -2.872722e-02
890 7.610364e-02 6.645638e-02 9.647257e-03 3.555073e-01 3.557330e-01 -2.257262e-04 -2.867272e-02
891 7.564283e-02 6.599547e-02 9.647358e-03 3.551219e-01 3.553478e-01 -2.258509e-04 -2.861719e-02
892 7.518824e-02 6.554077e-02 9.647463e-03 3.547214e-01 3.549473e-01 -2.259934e-04 -2.856142e-02
893 7.474007e-02 6.509251e-02 9.647565e-03 3.543034e-01 3.545296e-01 -2.261564e-04 -2.850585e-02
894 7.429812e-02 6.465047e-02 9.647657e-03 3.538658e-01 3.540921e-01 -2.263453e-04 -2.845088e-02
895 7.386166e-02 6.421392e-02 9.647734e-03 3.534061e-01 3.536326e-01 -2.265607e-04 -2.839707e-02
896 7.342953e-02 6.378174e-02 9.647790e-03 3.529215e-01 3.531483e-01 -2.268041e-04 -2.834476e-02
897 7.300026e-02 6.335244e-02 9.647821e-03 3.524091e-01 3.526362e-01 -2.270784e-04 -2.829429e-02
898 7.257181e-02 6.292398e-02 9.647822e-03 3.518655e-01 3.520929e-01 -2.273840e-04 -2.824561e-02
899 7.214209e-02 6.249430e-02 9.647791e-03 3.512879e-01 3.515156e-01 -2.277200e-04 -2.819906e-02
900 7.170849e-02 6.206076e-02 9.647725e-03 3.506729e-01 3.509009e-01 -2.280854e-04 -2.815445e-02
901 7.126852e-02 6.162090e-02 9.647623e-03 3.500171e-01 3.502455e-01 -2.284809e-04 -2.811150e-02
902 7.081936e-02 6.117187e-02 9.647487e-03 3.493171e-01 3.495460e-01 -2.289044e-04 -2.806964e-02
903 7.035840e-02 6.071109e-02 9.647317e-03 3.485699e-01 3.487992e-01 -2.293529e-04 -2.802845e-02
