# Iter  CD  CDp  CDf 
371 1.394052e-01 9.392107e-02 4.548410e-02
372 2.226262e-01 1.774029e-01 4.522333e-02
373 3.061863e-01 2.612182e-01 4.496810e-02
374 3.886939e-01 3.439764e-01 4.471744e-02
375 4.685819e-01 4.241118e-01 4.447012e-02
376 5.442065e-01 4.999820e-01 4.422453e-02
377 6.139122e-01 5.699335e-01 4.397870e-02
378 6.760746e-01 6.323436e-01 4.373104e-02
379 7.292322e-01 6.857527e-01 4.347952e-02
380 7.722249e-01 7.290015e-01 4.322331e-02
381 8.041464e-01 7.611856e-01 4.296084e-02
382 8.244419e-01 7.817508e-01 4.269106e-02
383 8.329375e-01 7.905242e-01 4.241331e-02
384 8.298097e-01 7.876818e-01 4.212792e-02
385 8.156264e-01 7.737917e-01 4.183465e-02
386 7.911390e-01 7.496058e-01 4.153317e-02
387 7.572830e-01 7.160591e-01 4.122391e-02
388 7.150932e-01 6.741857e-01 4.090755e-02
389 6.656303e-01 6.250454e-01 4.058485e-02
390 6.099187e-01 5.696619e-01 4.025682e-02
391 5.489090e-01 5.089846e-01 3.992437e-02
392 4.855213e-01 4.459224e-01 3.959894e-02
393 4.206486e-01 3.813686e-01 3.928006e-02
394 3.550219e-01 3.160532e-01 3.896869e-02
395 2.872654e-01 2.486103e-01 3.865510e-02
396 2.179338e-01 1.795940e-01 3.833979e-02
397 1.476390e-01 1.096160e-01 3.802295e-02
398 7.708432e-02 3.937948e-02 3.770484e-02
399 7.101507e-03 -3.028403e-02 3.738554e-02
400 -6.135456e-02 -9.841976e-02 3.706520e-02
401 -1.272087e-01 -1.639527e-01 3.674398e-02
402 -1.892747e-01 -2.256968e-01 3.642213e-02
403 -2.463017e-01 -2.824017e-01 3.610005e-02
404 -2.970633e-01 -3.328417e-01 3.577835e-02
405 -3.403447e-01 -3.758027e-01 3.545798e-02
406 -3.750152e-01 -4.101553e-01 3.514008e-02
407 -4.001038e-01 -4.349300e-01 3.482616e-02
408 -4.148606e-01 -4.493785e-01 3.451794e-02
409 -4.188312e-01 -4.530485e-01 3.421735e-02
410 -4.118905e-01 -4.458165e-01 3.392601e-02
411 -3.942467e-01 -4.278923e-01 3.364562e-02
412 -3.664482e-01 -3.998254e-01 3.337714e-02
413 -3.293910e-01 -3.625128e-01 3.312179e-02
414 -2.857450e-01 -3.186314e-01 3.288642e-02
415 -2.373320e-01 -2.700019e-01 3.266995e-02
416 -1.858919e-01 -2.183631e-01 3.247115e-02
417 -1.329997e-01 -1.652884e-01 3.228871e-02
418 -8.004942e-02 -1.121708e-01 3.212134e-02
419 -2.821102e-02 -6.017859e-02 3.196757e-02
420 2.154636e-02 -1.027957e-02 3.182593e-02
421 6.842533e-02 3.672992e-02 3.169541e-02
422 1.118099e-01 8.023552e-02 3.157442e-02
423 1.512388e-01 1.197770e-01 3.146179e-02
424 1.864035e-01 1.550470e-01 3.135645e-02
425 2.178650e-01 1.866105e-01 3.125454e-02
426 2.451038e-01 2.139483e-01 3.115549e-02
427 2.676358e-01 2.365772e-01 3.105857e-02
428 2.850573e-01 2.540941e-01 3.096323e-02
429 2.969987e-01 2.661300e-01 3.086862e-02
